@relation dataset-weka.filters.unsupervised.attribute.AddValues-C11-L4

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 {0,1,2,3,4}

@data
1,'2018/02/22 12:59:03:891',1,0.49613,0.464859,0.517928,0,?,?,0,?
2,'2018/02/22 12:59:03:903',1,0.496128,0.464858,0.517952,0,?,?,0,?
3,'2018/02/22 12:59:03:903',1,0.496138,0.464877,0.517925,0,?,?,0,?
4,'2018/02/22 12:59:03:903',1,0.49613,0.464859,0.517928,0,?,?,0,?
5,'2018/02/22 12:59:03:903',1,0.496128,0.464858,0.517952,0,?,?,0,?
6,'2018/02/22 12:59:03:904',1,0.496128,0.464858,0.517952,0,?,?,0,?
7,'2018/02/22 12:59:03:924',1,0.496128,0.464858,0.517952,0,?,?,0,?
8,'2018/02/22 12:59:04:063',1,0.496128,0.464858,0.517952,0,?,?,0,?
9,'2018/02/22 12:59:04:063',1,0.49611,0.464866,0.517953,0,?,?,0,?
10,'2018/02/22 12:59:04:063',1,0.496118,0.464884,0.51795,0,?,?,0,?
11,'2018/02/22 12:59:04:064',1,0.496118,0.464884,0.51795,0,?,?,0,?
12,'2018/02/22 12:59:04:064',1,0.496118,0.464884,0.51795,0,?,?,0,?
13,'2018/02/22 12:59:04:079',1,0.496118,0.464884,0.51795,0,?,?,0,?
14,'2018/02/22 12:59:04:253',1,0.496116,0.464884,0.517975,0,?,?,0,?
15,'2018/02/22 12:59:04:264',1,0.496116,0.464884,0.517975,0,?,?,0,?
16,'2018/02/22 12:59:04:269',1,0.496116,0.464884,0.517975,0,?,?,0,?
17,'2018/02/22 12:59:04:271',1,0.496116,0.464884,0.517975,0,?,?,0,?
18,'2018/02/22 12:59:04:272',1,0.496115,0.464886,0.517969,0,?,?,0,?
19,'2018/02/22 12:59:04:272',1,0.496113,0.464885,0.517993,0,?,?,0,?
20,'2018/02/22 12:59:04:275',1,0.496121,0.464903,0.517991,0,?,?,0,?
21,'2018/02/22 12:59:04:411',1,0.496113,0.464885,0.517993,0,?,?,0,?
